scenario,run,seed,coupon_target_annual,bond_term_ticks,tick,num_pools,num_assets,transactions_per_tick,swap_volume_usd_tick,route_success_rate_tick,repayment_volume_usd,loan_issuance_volume_usd,debt_outstanding_usd,fee_pool_cumulative_usd,fee_clc_cumulative_usd,claims_unpaid_usd_tick,household_cash_stress_ratio,stable_liquidity_leakage_ratio_tick,expected_cash_return_coverage,expected_voucher_return_coverage,expected_verified_report_exposure,strong_pool_share,moderate_pool_share,weak_pool_share,potential_nodes,potential_edges,potential_component_count,potential_largest_component_share,potential_avg_degree,potential_edge_top_share,potential_edge_hhi,realized_nodes,realized_edges,realized_component_count,realized_largest_component_share,realized_avg_degree,realized_edge_top_share,realized_edge_hhi
mutual_aid_only,1,102,0.0,52,4,120,122,124,18691.991905145627,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.5166666666666667,0.6539543292957395,0.13134266666666666,0.5824386633806253,156.46231039148398,0.25833333333333336,0.15,0.5916666666666667,120,1264,1,1.0,21.066666666666666,0.00156128024980484,0.0008013596910590807,120,267,6,0.9583333333333334,4.45,0.01507537688442211,0.004835736471301229
mutual_aid_only,1,102,0.0,52,8,120,122,131,19420.169732956758,0.859504132231405,0.0,0.0,0.0,0.0,0.0,0.0,0.5083333333333333,0.716051281960754,0.13134266666666666,0.5824386633806253,334.89217440006604,0.25833333333333336,0.15,0.5916666666666667,120,1479,1,1.0,24.65,0.0013149243918474688,0.0006937717452055186,120,512,1,1.0,8.533333333333333,0.009587727708533078,0.0031851847085395124
mutual_aid_only,1,102,0.0,52,12,120,122,132,21878.98494270395,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.49166666666666664,0.6961720767012181,0.13134266666666666,0.5824386633806253,422.0467836162842,0.25833333333333336,0.15,0.5916666666666667,120,1690,1,1.0,28.166666666666668,0.0011363636363636363,0.0006133780991735536,120,564,1,1.0,9.4,0.010828025477707006,0.0033137246947137814
mutual_aid_only,1,102,0.0,52,16,120,122,142,19934.679670185335,0.9019607843137255,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.7195937067609419,0.13134266666666666,0.5824386633806253,491.11649585699297,0.25833333333333336,0.15,0.5916666666666667,120,1887,1,1.0,31.45,0.0010025062656641604,0.0005555241487176588,120,578,1,1.0,9.633333333333333,0.011814744801512287,0.003783845112045769
mutual_aid_only,1,102,0.0,52,20,120,122,135,18576.240126700068,0.8986486486486487,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.7013446208513896,0.13134266666666666,0.5824386633806253,551.5843213257614,0.25833333333333336,0.15,0.5916666666666667,120,2081,1,1.0,34.68333333333333,0.000898069151324652,0.0005079111343032776,120,586,1,1.0,9.766666666666667,0.013498312710911136,0.004114924329621902
mutual_aid_only,1,102,0.0,52,24,120,122,137,18540.812606827458,0.9194630872483222,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.7123448213225182,0.13134266666666666,0.5824386633806253,599.2811106265317,0.25833333333333336,0.15,0.5916666666666667,120,2247,1,1.0,37.45,0.0008223684210526315,0.0004737410188711911,120,587,1,1.0,9.783333333333333,0.012760659819483348,0.00437793127417997
mutual_aid_only,1,102,0.0,52,28,120,122,138,23702.03605438251,0.9139072847682119,0.0,0.0,0.0,0.0,0.0,0.0,0.38333333333333336,0.712219011526654,0.13134266666666666,0.5824386633806253,639.5273650351216,0.25833333333333336,0.15,0.5916666666666667,120,2379,1,1.0,39.65,0.0007719027402547279,0.00044910975721111634,120,587,1,1.0,9.783333333333333,0.013018065887353878,0.004618535010914972
mutual_aid_only,1,102,0.0,52,32,120,122,137,24331.072669417954,0.9133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5166666666666667,0.7032215008337429,0.13134266666666666,0.5824386633806253,673.5940814292227,0.25833333333333336,0.15,0.5916666666666667,120,2459,1,1.0,40.983333333333334,0.0007429420505200594,0.0004357747019952354,120,587,1,1.0,9.783333333333333,0.013215859030837005,0.004828252321031176
mutual_aid_only,1,102,0.0,52,36,120,122,138,26892.759928840638,0.9324324324324325,0.0,0.0,0.0,0.0,0.0,0.0,0.35833333333333334,0.7089738830083911,0.13134266666666666,0.5824386633806253,705.740151626869,0.25833333333333336,0.15,0.5916666666666667,120,2493,1,1.0,41.55,0.0007309941520467836,0.00043042089873807316,120,587,1,1.0,9.783333333333333,0.012949640287769784,0.004947265796231023
mutual_aid_only,1,102,0.0,52,40,120,122,138,18690.68566278927,0.8846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.35833333333333334,0.7085227501190853,0.13134266666666666,0.5824386633806253,735.3771611404111,0.25833333333333336,0.15,0.5916666666666667,120,2505,1,1.0,41.75,0.0007267441860465116,0.000428599496349378,120,587,1,1.0,9.783333333333333,0.012922281705741185,0.005075639428706945
mutual_aid_only,1,102,0.0,52,44,120,122,138,15971.957592949035,0.965034965034965,0.0,0.0,0.0,0.0,0.0,0.0,0.5166666666666667,0.7007636917495096,0.13134266666666666,0.5824386633806253,761.8931139112804,0.25833333333333336,0.15,0.5916666666666667,120,2508,1,1.0,41.8,0.0007249003262051468,0.0004283979637105806,120,587,1,1.0,9.783333333333333,0.01256491874685877,0.005177501527479289
mutual_aid_only,1,102,0.0,52,48,120,122,138,17979.88408895937,0.8961038961038961,0.0,0.0,0.0,0.0,0.0,0.0,0.5166666666666667,0.7020320412425541,0.13134266666666666,0.5824386633806253,786.6958871712823,0.25833333333333336,0.15,0.5916666666666667,120,2509,1,1.0,41.81666666666667,0.0007246376811594203,0.0004282188615837009,120,587,1,1.0,9.783333333333333,0.012421407759546081,0.005274620179491119
mutual_aid_only,1,102,0.0,52,52,120,122,138,14834.911956556518,0.9324324324324325,0.0,0.0,0.0,0.0,0.0,0.0,0.30833333333333335,0.7035342794327141,0.13134266666666666,0.5824386633806253,809.4136805549604,0.25833333333333336,0.15,0.5916666666666667,120,2509,1,1.0,41.81666666666667,0.0007246376811594203,0.0004282188615837009,120,587,1,1.0,9.783333333333333,0.012441679626749611,0.005392232713443486
mutual_aid_only,2,103,0.0,52,4,120,122,124,27027.675154558845,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.629425983203612,0.12955106666666666,0.5828197186917234,157.69808774847635,0.23333333333333334,0.16666666666666666,0.6,120,1200,1,1.0,20.0,0.001644736842105263,0.0008440096952908586,120,259,9,0.9333333333333333,4.316666666666666,0.01288659793814433,0.005021787650122223
mutual_aid_only,2,103,0.0,52,8,120,122,135,19419.427206101936,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.475,0.7203546153390853,0.12955106666666666,0.5828197186917234,341.8427009394287,0.23333333333333334,0.16666666666666666,0.6,120,1418,1,1.0,23.633333333333333,0.0013736263736263737,0.0007226633256853038,120,500,1,1.0,8.333333333333334,0.010456273764258554,0.0031896514334456188
mutual_aid_only,2,103,0.0,52,12,120,122,132,25794.871802394093,0.8450704225352113,0.0,0.0,0.0,0.0,0.0,0.0,0.25833333333333336,0.7368858098262204,0.12955106666666666,0.5828197186917234,431.76323963976733,0.23333333333333334,0.16666666666666666,0.6,120,1634,1,1.0,27.233333333333334,0.0011806375442739079,0.0006321359224654276,120,565,1,1.0,9.416666666666666,0.010101010101010102,0.003335118865421896
mutual_aid_only,2,103,0.0,52,16,120,122,144,33994.15009450898,0.8860759493670886,0.0,0.0,0.0,0.0,0.0,0.0,0.575,0.733738669944021,0.12955106666666666,0.5828197186917234,496.7269978809425,0.23333333333333334,0.16666666666666666,0.6,120,1836,1,1.0,30.6,0.0010351966873706005,0.0005690366883993674,120,587,1,1.0,9.783333333333333,0.009363295880149813,0.0037356745079886095
mutual_aid_only,2,103,0.0,52,20,120,122,137,32304.798070049244,0.9072847682119205,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.7192743427499048,0.12955106666666666,0.5828197186917234,551.347872474717,0.23333333333333334,0.16666666666666666,0.6,120,2037,1,1.0,33.95,0.0009237875288683603,0.0005165103019377136,120,590,1,1.0,9.833333333333334,0.010385756676557863,0.004195962366490856
mutual_aid_only,2,103,0.0,52,24,120,122,139,33370.368174364135,0.896774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.2833333333333333,0.7287192119970198,0.12955106666666666,0.5828197186917234,595.9699520415303,0.23333333333333334,0.16666666666666666,0.6,120,2212,1,1.0,36.86666666666667,0.0008413967185527977,0.00047910410541069065,120,590,1,1.0,9.833333333333334,0.012623152709359606,0.004575380984736344
mutual_aid_only,2,103,0.0,52,28,120,122,140,30804.371680403154,0.9210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.325,0.728901108021679,0.12955106666666666,0.5828197186917234,636.1984206488777,0.23333333333333334,0.16666666666666666,0.6,120,2359,1,1.0,39.31666666666667,0.0007830853563038371,0.00045133188898952557,120,590,1,1.0,9.833333333333334,0.013133701076963489,0.004869784545894437
mutual_aid_only,2,103,0.0,52,32,120,122,139,29990.60721913918,0.896774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.30833333333333335,0.7284427314862781,0.12955106666666666,0.5828197186917234,670.6745583371631,0.23333333333333334,0.16666666666666666,0.6,120,2451,1,1.0,40.85,0.0007476635514018691,0.00043643986374355834,120,590,1,1.0,9.833333333333334,0.013519706691109074,0.005128620888680908
mutual_aid_only,2,103,0.0,52,36,120,122,140,26422.765414223595,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.729096958758756,0.12955106666666666,0.5828197186917234,703.0434580861261,0.23333333333333334,0.16666666666666666,0.6,120,2499,1,1.0,41.65,0.000731528895391368,0.0004286427543588045,120,590,1,1.0,9.833333333333334,0.013812715823684745,0.005340377090558402
mutual_aid_only,2,103,0.0,52,40,120,122,140,36903.486704221155,0.9210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7287455566669565,0.12955106666666666,0.5828197186917234,730.1669784429816,0.23333333333333334,0.16666666666666666,0.6,120,2514,1,1.0,41.9,0.0007262164124909223,0.0004263950395780034,120,590,1,1.0,9.833333333333334,0.013861024986321357,0.005486126285118039
