scenario,coupon_target_annual,bond_term_ticks,tick,metric,mean,p05,p50,p95,n
mutual_aid_only,0.0,52,12,realized_avg_degree,9.408333333333333,9.400833333333333,9.408333333333333,9.415833333333333,2
mutual_aid_only,0.0,52,12,realized_largest_component_share,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,12,repayment_volume_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,12,route_success_rate_tick,0.855868544600939,0.846150234741784,0.855868544600939,0.865586854460094,2
mutual_aid_only,0.0,52,12,swap_volume_usd_tick,23836.928372549024,22074.77928568846,23836.928372549024,25599.077459409586,2
mutual_aid_only,0.0,52,12,transactions_per_tick,132.0,132.0,132.0,132.0,2
mutual_aid_only,0.0,52,16,bond_annualized_fee_yield,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,16,bond_coupon_coverage_ratio,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,16,bond_coupon_shortfall_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,16,bond_cumulative_fee_return_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,16,debt_outstanding_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,16,expected_cash_return_coverage,0.13044686666666666,0.12964064666666664,0.13044686666666666,0.13125308666666666,2
mutual_aid_only,0.0,52,16,expected_verified_report_exposure,493.9217468689677,491.39702095819047,493.9217468689677,496.446472779745,2
mutual_aid_only,0.0,52,16,expected_voucher_return_coverage,0.5826291910361744,0.5824577161461801,0.5826291910361744,0.5828006659261685,2
mutual_aid_only,0.0,52,16,fee_pool_cumulative_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,16,household_cash_stress_ratio,0.4708333333333333,0.37708333333333327,0.4708333333333333,0.5645833333333332,2
mutual_aid_only,0.0,52,16,loan_issuance_volume_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,16,potential_avg_degree,31.025,30.642500000000002,31.025,31.4075,2
mutual_aid_only,0.0,52,16,potential_largest_component_share,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,16,realized_avg_degree,9.708333333333332,9.640833333333331,9.708333333333332,9.775833333333333,2
mutual_aid_only,0.0,52,16,realized_largest_component_share,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,16,repayment_volume_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,16,route_success_rate_tick,0.894018366840407,0.8868701911144203,0.894018366840407,0.9011665425663936,2
mutual_aid_only,0.0,52,16,swap_volume_usd_tick,26964.414882347155,20637.653191401514,26964.414882347155,33291.176573292796,2
mutual_aid_only,0.0,52,16,transactions_per_tick,143.0,142.1,143.0,143.89999999999998,2
mutual_aid_only,0.0,52,20,bond_annualized_fee_yield,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,20,bond_coupon_coverage_ratio,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,20,bond_coupon_shortfall_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,20,bond_cumulative_fee_return_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,20,debt_outstanding_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,20,expected_cash_return_coverage,0.13044686666666666,0.12964064666666664,0.13044686666666666,0.13125308666666666,2
mutual_aid_only,0.0,52,20,expected_verified_report_exposure,551.4660969002391,551.3596949172692,551.4660969002391,551.5724988832092,2
mutual_aid_only,0.0,52,20,expected_voucher_return_coverage,0.5826291910361744,0.5824577161461801,0.5826291910361744,0.5828006659261685,2
mutual_aid_only,0.0,52,20,fee_pool_cumulative_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,20,household_cash_stress_ratio,0.5291666666666667,0.5254166666666666,0.5291666666666667,0.5329166666666666,2
mutual_aid_only,0.0,52,20,loan_issuance_volume_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,20,potential_avg_degree,34.31666666666666,33.986666666666665,34.31666666666666,34.64666666666666,2
mutual_aid_only,0.0,52,20,potential_largest_component_share,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,20,realized_avg_degree,9.8,9.770000000000001,9.8,9.83,2
mutual_aid_only,0.0,52,20,realized_largest_component_share,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,20,repayment_volume_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,20,route_success_rate_tick,0.9029667084302846,0.8990804546268122,0.9029667084302846,0.9068529622337569,2
mutual_aid_only,0.0,52,20,swap_volume_usd_tick,25440.519098374658,19262.668023867525,25440.519098374658,31618.370172881783,2
mutual_aid_only,0.0,52,20,transactions_per_tick,136.0,135.1,136.0,136.9,2
mutual_aid_only,0.0,52,24,bond_annualized_fee_yield,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,24,bond_coupon_coverage_ratio,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,24,bond_coupon_shortfall_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,24,bond_cumulative_fee_return_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,24,debt_outstanding_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,24,expected_cash_return_coverage,0.13044686666666666,0.12964064666666664,0.13044686666666666,0.13125308666666666,2
mutual_aid_only,0.0,52,24,expected_verified_report_exposure,597.6255313340309,596.1355099707804,597.6255313340309,599.1155526972816,2
mutual_aid_only,0.0,52,24,expected_voucher_return_coverage,0.5826291910361744,0.5824577161461801,0.5826291910361744,0.5828006659261685,2
mutual_aid_only,0.0,52,24,fee_pool_cumulative_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,24,household_cash_stress_ratio,0.31666666666666665,0.2866666666666667,0.31666666666666665,0.3466666666666666,2
mutual_aid_only,0.0,52,24,loan_issuance_volume_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,24,potential_avg_degree,37.15833333333333,36.895833333333336,37.15833333333333,37.420833333333334,2
mutual_aid_only,0.0,52,24,potential_largest_component_share,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,24,realized_avg_degree,9.808333333333334,9.785833333333333,9.808333333333334,9.830833333333334,2
mutual_aid_only,0.0,52,24,realized_largest_component_share,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,24,repayment_volume_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,24,route_success_rate_tick,0.9081186403983545,0.8979086382333837,0.9081186403983545,0.9183286425633255,2
mutual_aid_only,0.0,52,24,swap_volume_usd_tick,25955.590390595797,19282.29038520429,25955.590390595797,32628.8903959873,2
mutual_aid_only,0.0,52,24,transactions_per_tick,138.0,137.1,138.0,138.89999999999998,2
mutual_aid_only,0.0,52,28,bond_annualized_fee_yield,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,28,bond_coupon_coverage_ratio,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,28,bond_coupon_shortfall_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,28,bond_cumulative_fee_return_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,28,debt_outstanding_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,28,expected_cash_return_coverage,0.13044686666666666,0.12964064666666664,0.13044686666666666,0.13125308666666666,2
mutual_aid_only,0.0,52,28,expected_verified_report_exposure,637.8628928419996,636.3648678681899,637.8628928419996,639.3609178158094,2
mutual_aid_only,0.0,52,28,expected_voucher_return_coverage,0.5826291910361744,0.5824577161461801,0.5826291910361744,0.5828006659261685,2
mutual_aid_only,0.0,52,28,fee_pool_cumulative_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,28,household_cash_stress_ratio,0.3541666666666667,0.32791666666666663,0.3541666666666667,0.38041666666666674,2
mutual_aid_only,0.0,52,28,loan_issuance_volume_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,28,potential_avg_degree,39.483333333333334,39.333333333333336,39.483333333333334,39.63333333333333,2
mutual_aid_only,0.0,52,28,potential_largest_component_share,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,28,realized_avg_degree,9.808333333333334,9.785833333333333,9.808333333333334,9.830833333333334,2
mutual_aid_only,0.0,52,28,realized_largest_component_share,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,28,repayment_volume_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,28,route_success_rate_tick,0.9174799581735796,0.9142645521087487,0.9174799581735796,0.9206953642384105,2
mutual_aid_only,0.0,52,28,swap_volume_usd_tick,27253.203867392833,24057.15283568354,27253.203867392833,30449.25489910212,2
mutual_aid_only,0.0,52,28,transactions_per_tick,139.0,138.1,139.0,139.9,2
mutual_aid_only,0.0,52,32,bond_annualized_fee_yield,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,32,bond_coupon_coverage_ratio,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,32,bond_coupon_shortfall_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,32,bond_cumulative_fee_return_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,32,debt_outstanding_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,32,expected_cash_return_coverage,0.13044686666666666,0.12964064666666664,0.13044686666666666,0.13125308666666666,2
mutual_aid_only,0.0,52,32,expected_verified_report_exposure,672.1343198831929,670.8205344917661,672.1343198831929,673.4481052746197,2
mutual_aid_only,0.0,52,32,expected_voucher_return_coverage,0.5826291910361744,0.5824577161461801,0.5826291910361744,0.5828006659261685,2
mutual_aid_only,0.0,52,32,fee_pool_cumulative_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,32,household_cash_stress_ratio,0.41250000000000003,0.31875,0.41250000000000003,0.50625,2
mutual_aid_only,0.0,52,32,loan_issuance_volume_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,32,potential_avg_degree,40.91666666666667,40.85666666666666,40.91666666666667,40.97666666666667,2
mutual_aid_only,0.0,52,32,potential_largest_component_share,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,32,realized_avg_degree,9.808333333333334,9.785833333333333,9.808333333333334,9.830833333333334,2
mutual_aid_only,0.0,52,32,realized_largest_component_share,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,32,repayment_volume_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,32,route_success_rate_tick,0.9050537634408602,0.8976021505376343,0.9050537634408602,0.912505376344086,2
mutual_aid_only,0.0,52,32,swap_volume_usd_tick,27160.839944278567,24614.049396904014,27160.839944278567,29707.63049165312,2
mutual_aid_only,0.0,52,32,transactions_per_tick,138.0,137.1,138.0,138.89999999999998,2
mutual_aid_only,0.0,52,36,bond_annualized_fee_yield,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,36,bond_coupon_coverage_ratio,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,36,bond_coupon_shortfall_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,36,bond_cumulative_fee_return_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,36,debt_outstanding_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,36,expected_cash_return_coverage,0.13044686666666666,0.12964064666666664,0.13044686666666666,0.13125308666666666,2
mutual_aid_only,0.0,52,36,expected_verified_report_exposure,704.3918048564975,703.1782927631632,704.3918048564975,705.6053169498318,2
mutual_aid_only,0.0,52,36,expected_voucher_return_coverage,0.5826291910361744,0.5824577161461801,0.5826291910361744,0.5828006659261685,2
mutual_aid_only,0.0,52,36,fee_pool_cumulative_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,36,household_cash_stress_ratio,0.32916666666666666,0.30291666666666667,0.32916666666666666,0.35541666666666666,2
mutual_aid_only,0.0,52,36,loan_issuance_volume_usd,0.0,0.0,0.0,0.0,2
mutual_aid_only,0.0,52,36,potential_avg_degree,41.599999999999994,41.555,41.599999999999994,41.644999999999996,2
mutual_aid_only,0.0,52,36,potential_largest_component_share,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,36,realized_avg_degree,9.808333333333334,9.785833333333333,9.808333333333334,9.830833333333334,2
mutual_aid_only,0.0,52,36,realized_largest_component_share,1.0,1.0,1.0,1.0,2
mutual_aid_only,0.0,52,36,repayment_volume_usd,0.0,0.0,0.0,0.0,2
