scenario,run,seed,coupon_target_annual,bond_term_ticks,tick,num_pools,num_assets,transactions_per_tick,swap_volume_usd_tick,route_success_rate_tick,repayment_volume_usd,loan_issuance_volume_usd,debt_outstanding_usd,fee_pool_cumulative_usd,fee_clc_cumulative_usd,claims_unpaid_usd_tick,household_cash_stress_ratio,stable_liquidity_leakage_ratio_tick,expected_cash_return_coverage,expected_voucher_return_coverage,expected_verified_report_exposure,strong_pool_share,moderate_pool_share,weak_pool_share,bond_principal_usd,bond_raw_lp_returned_usd,bond_cumulative_fee_return_usd,bond_net_after_principal_usd,bond_simple_fee_yield,bond_annualized_fee_yield,bond_cagr_fee_yield,bond_coupon_due_usd,bond_coupon_coverage_ratio,bond_coupon_shortfall_usd,bond_principal_shortfall_at_term_usd,bond_payback_ratio
regenbond_lp_injection,1,502,0.06,260,13,125,127,287,49907.85597357227,0.9139344262295082,7102.008502143486,295.2002775795378,84553.17862404569,5123.6724735213875,5123.6724735213875,0.0,0.184,0.00029385922254692093,0.131831208,0.5863269363717228,447.81816882682307,0.24,0.176,0.584,400000.0,6464.27714514792,6464.27714514792,-393535.7228548521,0.0161606928628698,0.0646427714514792,0.06622673024598202,6000.0,1.07737952419132,0.0,0.0,0.0161606928628698
regenbond_lp_injection,1,502,0.06,260,26,125,127,312,33999.36279897771,0.8461538461538461,4324.502632904112,0.9999999999999999,102403.3882135458,9056.272423365428,9056.272423365428,0.0,0.288,0.0008128603206991402,0.131831208,0.5863269363717228,658.6029305119146,0.24,0.176,0.584,400000.0,22950.566121150947,22950.566121150947,-377049.433878849,0.05737641530287737,0.11475283060575474,0.11804488363876287,12000.0,1.912547176762579,0.0,0.0,0.05737641530287737
regenbond_lp_injection,1,502,0.06,260,39,125,127,318,55282.04101328103,0.8209459459459459,4056.2883721331655,0.9999999999999999,116435.61427866673,12386.676294293002,12386.676294293002,0.0,0.288,0.0005354286720620099,0.131831208,0.5863269363717228,801.3529215427579,0.24,0.176,0.584,400000.0,39292.99749122679,39292.99749122679,-360707.00250877324,0.09823249372806699,0.1309766583040893,0.13307602996331558,18000.0,2.182944305068155,0.0,0.0,0.09823249372806699
regenbond_lp_injection,1,502,0.06,260,52,125,127,313,143267.8936631639,0.9392712550607287,1413.5535060224254,181.21421595890234,163318.0900279966,17342.375080264526,17342.375080264526,0.0,0.232,0.05011877321306392,0.131831208,0.5863269363717228,901.6928194307898,0.24,0.176,0.584,400000.0,58334.792039224914,58334.792039224914,-341665.20796077506,0.14583698009806229,0.14583698009806229,0.14583698009806234,24000.0,2.430616334967705,0.0,0.0,0.14583698009806229
regenbond_lp_injection,1,502,0.06,260,65,125,127,310,50570.86183086337,0.8896321070234113,9099.816650846251,0.0,167244.26399531873,20247.44394452813,20247.44394452813,0.0,0.344,0.0004742070726054301,0.131831208,0.5863269363717228,995.074326956246,0.24,0.176,0.584,400000.0,85746.73425449175,85746.73425449175,-314253.26574550825,0.21436683563622938,0.1714934685089835,0.16809971643509458,30000.0,2.8582244751497248,0.0,0.0,0.21436683563622938
regenbond_lp_injection,1,502,0.06,260,78,125,127,355,58968.496413990826,0.8566666666666667,2069.7020575258725,100.66123904981288,169613.7403468589,22786.673355644,22786.673355644,0.0,0.296,0.00040575797809006887,0.131831208,0.5863269363717228,1079.0694290247977,0.24,0.176,0.584,400000.0,98829.31246206824,98829.31246206824,-301170.6875379318,0.24707328115517058,0.16471552077011373,0.15858521744979526,36000.0,2.7452586795018954,0.0,0.0,0.24707328115517058
regenbond_lp_injection,1,502,0.06,260,91,125,127,326,71468.13216175804,0.8533333333333334,5665.456849165848,86.33627088093968,193479.4827586158,26084.373978188236,26084.373978188236,0.0,0.304,0.00027461514779172637,0.131831208,0.5863269363717228,1144.8563170880127,0.24,0.176,0.584,400000.0,127536.66368332788,127536.66368332788,-272463.33631667215,0.3188416592083197,0.18219523383332553,0.17133607326623057,42000.0,3.036587230555426,0.0,0.0,0.3188416592083197
regenbond_lp_injection,1,502,0.06,260,104,125,127,349,108709.25696162158,0.919732441471572,930.0804647547034,129.26675691393774,175439.9538713531,29357.66270835295,29357.66270835295,0.0,0.272,0.04599538768398556,0.131831208,0.5863269363717228,1204.3687710319946,0.24,0.176,0.584,400000.0,144991.9326091938,144991.9326091938,-255008.0673908062,0.3624798315229845,0.18123991576149226,0.16725311373454232,48000.0,3.0206652626915376,0.0,0.0,0.3624798315229845
regenbond_lp_injection,1,502,0.06,260,117,125,127,334,57858.223615807525,0.8791946308724832,6524.766726987745,0.0,164788.40862714578,31964.64496536111,31964.64496536111,0.0,0.288,0.0004585640992555691,0.131831208,0.5863269363717228,1262.9741291137557,0.24,0.176,0.584,400000.0,163442.39357022557,163442.39357022557,-236557.60642977443,0.4086059839255639,0.18160265952247284,0.16447100596036246,54000.0,3.026710992041214,0.0,0.0,0.4086059839255639
regenbond_lp_injection,1,502,0.06,260,130,125,127,335,74760.05619389979,0.8766666666666667,4894.088771695953,5.020294086635911,161551.37892945827,34755.09271746731,34755.09271746731,0.0,0.336,0.0005206493942025883,0.131831208,0.5863269363717228,1314.5770146652103,0.24,0.176,0.584,400000.0,183790.29607420985,183790.29607420985,-216209.70392579015,0.4594757401855246,0.18379029607420985,0.16326524324113256,60000.0,3.0631716012368306,0.0,0.0,0.4594757401855246
