scenario,run,seed,coupon_target_annual,bond_term_ticks,tick,num_pools,num_assets,transactions_per_tick,swap_volume_usd_tick,route_success_rate_tick,repayment_volume_usd,loan_issuance_volume_usd,debt_outstanding_usd,fee_pool_cumulative_usd,fee_clc_cumulative_usd,claims_unpaid_usd_tick,household_cash_stress_ratio,stable_liquidity_leakage_ratio_tick,expected_cash_return_coverage,expected_voucher_return_coverage,expected_verified_report_exposure,strong_pool_share,moderate_pool_share,weak_pool_share,potential_nodes,potential_edges,potential_component_count,potential_largest_component_share,potential_avg_degree,potential_edge_top_share,potential_edge_hhi,realized_nodes,realized_edges,realized_component_count,realized_largest_component_share,realized_avg_degree,realized_edge_top_share,realized_edge_hhi
regenbond_lp_injection,1,502,0.06,260,13,125,127,287,49907.85597357227,0.9139344262295082,7102.008502143486,295.2002775795378,84553.17862404569,5123.6724735213875,5123.6724735213875,0.0,0.184,0.00029385922254692093,0.131831208,0.5863269363717228,447.81816882682307,0.24,0.176,0.584,125,2006,2,0.992,32.096,0.0030103995621237,0.0009050522045256206,125,660,2,0.992,10.56,0.018208844295800816,0.004132718155305524
regenbond_lp_injection,1,502,0.06,260,26,125,127,312,33999.36279897771,0.8461538461538461,4324.502632904112,0.9999999999999999,102403.3882135458,9056.272423365428,9056.272423365428,0.0,0.288,0.0008128603206991402,0.131831208,0.5863269363717228,658.6029305119146,0.24,0.176,0.584,125,2587,2,0.992,41.392,0.0029536643898836995,0.0008684261312466115,125,700,2,0.992,11.2,0.019182652210175146,0.005083496742141943
regenbond_lp_injection,1,502,0.06,260,39,125,127,318,55282.04101328103,0.8209459459459459,4056.2883721331655,0.9999999999999999,116435.61427866673,12386.676294293002,12386.676294293002,0.0,0.288,0.0005354286720620099,0.131831208,0.5863269363717228,801.3529215427579,0.24,0.176,0.584,125,2940,2,0.992,47.04,0.0029533372711163615,0.0008802009176453266,125,724,2,0.992,11.584,0.01788756388415673,0.005368436728202479
regenbond_lp_injection,1,502,0.06,260,52,125,127,313,143267.8936631639,0.9392712550607287,1413.5535060224254,181.21421595890234,163318.0900279966,17342.375080264526,17342.375080264526,0.0,0.232,0.05011877321306392,0.131831208,0.5863269363717228,901.6928194307898,0.24,0.176,0.584,125,2968,2,0.992,47.488,0.0023670286828181564,0.0009058352431404945,125,734,2,0.992,11.744,0.01800403538724197,0.0056713019812537745
regenbond_lp_injection,1,502,0.06,260,65,125,127,310,50570.86183086337,0.8896321070234113,9099.816650846251,0.0,167244.26399531873,20247.44394452813,20247.44394452813,0.0,0.344,0.0004742070726054301,0.131831208,0.5863269363717228,995.074326956246,0.24,0.176,0.584,125,2968,2,0.992,47.488,0.0028066236317709796,0.0009050829505767206,125,748,2,0.992,11.968,0.016248782862706913,0.005752544018416105
regenbond_lp_injection,1,502,0.06,260,78,125,127,355,58968.496413990826,0.8566666666666667,2069.7020575258725,100.66123904981288,169613.7403468589,22786.673355644,22786.673355644,0.0,0.296,0.00040575797809006887,0.131831208,0.5863269363717228,1079.0694290247977,0.24,0.176,0.584,125,2968,2,0.992,47.488,0.0027009646302250806,0.0009758873460778941,125,757,2,0.992,12.112,0.014085210528944608,0.005818152964261408
regenbond_lp_injection,1,502,0.06,260,91,125,127,326,71468.13216175804,0.8533333333333334,5665.456849165848,86.33627088093968,193479.4827586158,26084.373978188236,26084.373978188236,0.0,0.304,0.00027461514779172637,0.131831208,0.5863269363717228,1144.8563170880127,0.24,0.176,0.584,125,2968,2,0.992,47.488,0.0030002608922515,0.000965770977442043,125,759,2,0.992,12.144,0.014332358054530807,0.005923201064221531
regenbond_lp_injection,1,502,0.06,260,104,125,127,349,108709.25696162158,0.919732441471572,930.0804647547034,129.26675691393774,175439.9538713531,29357.66270835295,29357.66270835295,0.0,0.272,0.04599538768398556,0.131831208,0.5863269363717228,1204.3687710319946,0.24,0.176,0.584,125,2968,2,0.992,47.488,0.0030188679245283017,0.0010004983980064078,125,765,2,0.992,12.24,0.014084507042253521,0.0059848875896918625
regenbond_lp_injection,1,502,0.06,260,117,125,127,334,57858.223615807525,0.8791946308724832,6524.766726987745,0.0,164788.40862714578,31964.64496536111,31964.64496536111,0.0,0.288,0.0004585640992555691,0.131831208,0.5863269363717228,1262.9741291137557,0.24,0.176,0.584,125,2968,2,0.992,47.488,0.003119930113565456,0.0010079870055163854,125,770,2,0.992,12.32,0.014151864142104236,0.006056924992739711
regenbond_lp_injection,1,502,0.06,260,130,125,127,335,74760.05619389979,0.8766666666666667,4894.088771695953,5.020294086635911,161551.37892945827,34755.09271746731,34755.09271746731,0.0,0.336,0.0005206493942025883,0.131831208,0.5863269363717228,1314.5770146652103,0.24,0.176,0.584,125,2968,2,0.992,47.488,0.00298916427948686,0.001016786809417555,125,774,2,0.992,12.384,0.014584913365614608,0.006111872570105019
