template_id,tier,score,swap_events,recent_swap_weeks_90d,active_weeks,swaps_per_active_week,total_users,backing_inflow,tagged_voucher_tokens,verified_report_exposure,approved_report_exposure,period_aligned_verified_exposure,same_token_return_rate,same_token_out_value,same_token_matched_later_in_value,borrow_proxy_matured_events,borrow_proxy_matured_return_rate,rosca_proxy_value_return_rate,debt_removal_purchase_events
pool_template_093,weak,80.50,1,1,1,1.00,1,10.000000,2,0,0,0,0.000000,10.000000,0.000000,0,0.000000,0.000000,0
pool_template_094,weak,78.44,2,1,1,2.00,2,110.000000,22,1,1,0,0.000000,110.000000,0.000000,0,0.000000,0.000000,0
pool_template_095,weak,78.07,8,1,1,8.00,4,1111.280000,3,2,4,0,0.099453,1111.280000,110.520000,0,0.000000,0.000000,1
pool_template_096,weak,78.06,1,1,1,1.00,1,25.000000,2,0,0,0,0.000000,25.000000,0.000000,0,0.000000,0.000000,0
pool_template_097,weak,66.26,7,1,3,2.33,3,4300.000000,9,8,34,0,0.099103,2018.110236,200.000000,0,0.000000,0.000000,0
pool_template_098,weak,66.02,64,1,9,7.11,7,32687.063664,0,39,214,27,0.642199,8527.619994,5476.428235,28,0.464286,0.264757,0
pool_template_099,weak,65.80,3,1,3,1.00,1,3099.000000,12,8,17,0,0.404484,123.614173,50.000000,1,0.000000,0.000000,0
pool_template_100,weak,65.45,47,5,5,9.40,6,946.987480,8,6,21,1,0.088912,536.483501,47.700000,0,0.000000,0.258107,2
pool_template_101,weak,54.94,1,1,1,1.00,1,1000.000000,13,6,24,0,0.000000,7.874015,0.000000,0,0.000000,0.000000,0
pool_template_102,weak,52.50,5,1,1,5.00,1,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_103,weak,46.50,3,1,1,3.00,1,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_104,weak,45.08,3,1,1,3.00,3,1500.000000,2,0,0,0,0.666667,1500.000000,1000.000000,0,0.000000,0.000000,0
pool_template_105,weak,42.99,3,1,1,3.00,3,60.000000,2,0,0,0,0.500000,60.000000,30.000000,0,0.000000,0.000000,0
pool_template_106,weak,42.85,78,0,31,2.52,14,11255.000000,16,45,164,2,0.026406,11717.940000,309.420000,73,0.219178,0.576822,0
pool_template_107,weak,40.77,12,3,5,2.40,2,1708.590000,4,0,7,0,0.986239,566.628806,558.831576,0,0.000000,0.000000,0
pool_template_108,weak,40.50,1,1,1,1.00,1,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_109,weak,40.50,1,1,1,1.00,1,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_110,weak,39.62,120,0,20,6.00,9,950.000000,9,1,24,0,0.047958,15117.300000,725.000000,84,0.297619,0.659796,1
pool_template_111,weak,38.12,58,0,35,1.66,7,1500.000000,10,28,178,0,0.208276,14442.359230,3008.000000,14,1.000000,1.000000,3
pool_template_112,weak,30.79,0,0,1,0.00,1,7.000000,2,0,1,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_113,weak,30.20,20,0,1,20.00,12,1000.000000,43,52,91,0,0.520000,1000.000000,520.000000,0,0.000000,0.000000,0
pool_template_114,weak,28.08,27,0,9,3.00,9,4246.280000,12,48,167,4,0.754076,2089.669730,1575.770000,19,0.052632,0.048042,0
pool_template_115,weak,27.94,0,0,1,0.00,1,1000.000000,2,0,0,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0
pool_template_116,weak,26.15,14,0,9,1.56,6,26885.030000,12,19,67,3,0.253498,2774.421612,703.310000,6,0.000000,0.000000,3
