scenario,row_type,tier,configured_tier_probability,configured_producer_stable_deposit_rate_per_month,configured_producer_voucher_deposit_rate_per_month,configured_producer_deposit_stable_share,configured_producer_deposit_voucher_share,configured_productive_credit_return_rate,configured_productive_credit_lag_ticks_p50,configured_productive_credit_stable_retained_share,configured_productive_credit_voucher_deposit_share,configured_productive_credit_voucher_deposit_cap_rate_per_month,configured_producer_stable_debt_contract_service_margin_rate,configured_producer_voucher_debt_contract_service_margin_rate,configured_external_nonproducer_stable_to_voucher_budget_usd_per_tick,configured_other_producer_stable_to_voucher_budget_usd_per_tick,configured_producer_stable_reuse_share,configured_producer_stable_exit_share,realized_productive_credit_inflow_usd_p50,realized_productive_credit_stable_retained_usd_p50,realized_productive_credit_voucher_deposit_usd_p50,realized_productive_credit_voucher_deposit_share_p50,realized_productive_credit_voucher_deposit_cap_clipped_usd_p50,realized_producer_deposit_stable_usd_p50,realized_producer_deposit_voucher_usd_p50,realized_producer_deposit_voucher_share_p50,realized_producer_organic_voucher_deposit_usd_p50,realized_ordinary_swap_volume_usd_p50,realized_ordinary_stable_source_swap_volume_usd_p50,realized_ordinary_voucher_source_swap_volume_usd_p50,realized_ordinary_stable_spend_protected_skip_value_usd_p50,realized_producer_stable_exited_usd_p50,realized_bond_eligible_pool_exposure_recovered_stable_usd_p50,realized_lender_inventory_turnover_stable_usd_p50
bond_issuer_frontier,configured_tier,strong,0.6164383561643836,0.035195,0.2,0.119662,0.880338,0.423184,1.857143,0.24488100000000002,0.755119,0.189536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bond_issuer_frontier,configured_tier,moderate,0.2876712328767123,0.1,0.174526,0.511743,0.488257,0.423184,1.857143,0.24488100000000002,0.755119,0.189536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bond_issuer_frontier,configured_tier,weak,0.0958904109589041,0.1,0.165257,0.409797,0.590203,0.423184,1.857143,0.24488100000000002,0.755119,0.189536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bond_issuer_frontier,realized_all_runs,all,0.0,0.060051712328767125,0.1893403424657534,0.2602735890410959,0.739726410958904,0.423184,2.0,0.24488100000000002,0.755119,0.189536,0.0,0.0,34.244728,7.95146,0.03248,0.96752,86245.5344007881,21217.272044817953,65030.09127728235,0.7540477448585535,92.43959415643374,835513.3849908424,2719587.1184286205,0.7649847256904447,2654608.145634331,1115672.5312244804,76.58817401434894,1115598.4984878746,5706.357526081403,32161.237360404128,24695.912531282378,31332.3941873027
