scenario,network_scale,coupon_target_annual,principal_ratio,runs,safe,strong_success,binding_constraint,scheduled_payment_coverage_p05,issuer_unpaid_scheduled_claim_p95,voucher_to_voucher_volume_ratio_vs_baseline,voucher_to_voucher_share_p50,v2s_to_v2v_volume_ratio_p50,s2v_to_v2v_volume_ratio_p50,active_routable_producer_voucher_float_ratio_vs_baseline,producer_borrowing_capacity_used_share_p95,producer_borrowing_capacity_remaining_usd_p50,cap_bound_producer_count_p50,cap_bound_own_voucher_route_suppressed_count_total_p50,own_voucher_v2v_blocked_by_debt_limit_count_total_p50,own_voucher_v2s_blocked_by_debt_limit_count_total_p50,stable_receipts_waiting_for_repayment_usd_p50,producer_debt_arrears_usd_p50,productive_credit_debt_return_scheduled_usd_total_p50,productive_credit_debt_return_received_usd_total_p50,mechanism_capacity_pressure_present,mechanism_v2v_decline_present,mechanism_repayment_waiting_present
bond_issuer_frontier,current,0.0,0.05,100,1,1,,1.0,0.0,0.9991099645099958,0.3312491560808326,0.2800779175724463,0.04895141598828485,1.0001315699367133,0.03092303190184119,127937620.6335702,0.0,0.0,0.0,0.0,2838.223707541002,39.95841776282164,90590.83389974074,86600.20702579929,0,0,1
bond_issuer_frontier,current,0.0,0.1,100,1,1,,1.0,0.0,0.9961582313474313,0.3288413278196147,0.28390090280504277,0.05025949306861288,1.001217458695745,0.03062376789548802,127912061.1542453,0.0,0.0,0.0,0.0,2787.1456205115664,49.68165668490376,90507.9861874987,86405.35094375396,0,0,1
bond_issuer_frontier,current,0.0,0.25,100,1,1,,1.0,0.0,0.9986486284718892,0.3284825806249144,0.28699457069385603,0.05132221726796719,1.0024136728643431,0.030507084529579842,127894209.79400863,0.0,0.0,0.0,0.0,2830.783698712284,41.702152639717816,90425.46132947713,86443.40114890353,0,0,1
bond_issuer_frontier,current,0.0,0.5,100,1,1,,1.0,0.0,1.000609436108725,0.32583204350732226,0.2827446100570834,0.051393775968882595,0.9999985162367115,0.030586511091262866,127898950.15335868,0.0,0.0,0.0,0.0,2849.4049376596363,46.28591400256175,90522.00973351198,86393.399606037,0,0,1
bond_issuer_frontier,current,0.0,0.75,100,1,1,,1.0,0.0,1.0020342392685708,0.32553701322464457,0.28423878979037054,0.04877461645247637,1.0032209078503345,0.030433247928313107,127900394.45851281,0.0,0.0,0.0,0.0,2843.651444444462,45.88565465627207,90494.11648954087,86537.81784521815,0,0,1
bond_issuer_frontier,current,0.0,1.0,100,1,1,,1.0,0.0,0.9991954844752703,0.31941100560916685,0.28092585040927054,0.0509298076593961,1.0016342957177162,0.030477512189206912,127946065.2212852,0.0,0.0,0.0,0.0,2836.849515629754,41.98912049320178,90723.61434767203,86591.70591104684,0,0,1
bond_issuer_frontier,current,0.0,1.5,100,1,1,,1.0,0.0,0.9997771094151271,0.31214840507389263,0.2886725290915754,0.051493582267257525,0.9995759569294006,0.03051122092395245,127889736.63073266,0.0,0.0,0.0,0.0,2848.6924581159783,42.8521716984731,90294.69341071395,86282.1913811091,0,0,1
bond_issuer_frontier,current,0.0,2.0,100,1,1,,1.0,0.0,1.0003449845639465,0.30532528182087815,0.2867009437947044,0.05062162372466721,1.001166754850647,0.03058954852095086,127912727.90002218,0.0,0.0,0.0,0.0,2867.5610020553,44.303339873858036,90158.59669703408,86142.63552202981,0,0,1
bond_issuer_frontier,current,0.04,0.05,100,1,1,,1.0,0.0,0.991488822709256,0.3323529298038367,0.2820542463408157,0.049501361591007376,1.0033113889532124,0.03053027601132249,127901659.91023383,0.0,0.0,0.0,0.0,2880.6472402621453,48.11846722714009,90380.08722896977,86314.10930867569,0,0,1
bond_issuer_frontier,current,0.04,0.1,100,1,1,,1.0,0.0,1.0010942492526402,0.3284578497725072,0.28541268007702797,0.05022644127656007,1.0006684855417562,0.030384179137564683,127932300.67092064,0.0,0.0,0.0,0.0,2810.964967127864,47.9964734567056,90681.76032826834,86846.49352540597,0,0,1
