network_scale,coupon_target_annual,bond_fee_service_share,safe_principal_ratio,safe_principal_usd,binding_constraint_at_frontier,service_coverage_p05,service_coverage_p50,scheduled_payment_coverage_p05,scheduled_payment_coverage_p50,service_cash_headroom_p05,service_cash_headroom_p50,gross_historical_service_cash_headroom_p05,gross_historical_service_cash_headroom_p50,available_service_cash_headroom_p05,available_service_cash_headroom_p50,issuer_operating_risk_headroom_p50,issuer_operating_risk_headroom_ge_125,bond_service_lockbox_target_usd_p50,bond_service_lockbox_coverage_ratio_p50,bond_service_lockbox_mode,fee_service_reserved_usd_total_p50,fee_service_stable_reserved_usd_total_p50,fee_service_converted_voucher_reserved_usd_total_p50,issuer_reserve_balance_p05,issuer_unpaid_scheduled_claim_p95,route_success_p05,household_cash_stress_p95,household_cash_stress_delta_p95,liquidity_leakage_p95,liquidity_leakage_delta_p95,unpaid_claims_ratio_p95,realized_edge_concentration_p95,producer_borrowing_capacity_used_share_p95,cap_bound_producer_count_p50,cap_bound_own_voucher_route_suppressed_count_total_p50,stable_receipts_waiting_for_repayment_usd_p50
current,0.0,1.0,2.0,36471.898666999994,,1.0,1.0,1.0,1.0,1.9228621845689986,2.136410157455288,1.9228621845689986,2.136410157455288,1.2636395971291006,1.2775437573453226,1.2775437573453226,1,45589.873333749994,1.25,remaining_schedule,21567.962192284867,5913.429725603706,15708.817198538873,0.0,0.0,0.9236714695433946,0.0,0.0,0.047011696547659784,0.027789613882893534,0.0,0.0020589100027904343,0.03058954852095086,0.0,0.0,2867.5610020553
current,0.04,1.0,2.0,36471.898666999994,,1.0,1.0,1.0,1.0,1.7628074660931337,1.9634049812546326,1.7628074660931337,1.9634049812546326,1.1570713730166282,1.191164786784654,1.191164786784654,0,50604.75940046249,1.25,remaining_schedule,23018.180477085443,6264.100456180831,16759.816249493822,0.0,0.0,0.9250214601638787,0.0,0.0,0.04941205269160933,0.03018997002684308,0.0,0.002201318958714033,0.03050384286904232,0.0,0.0,2858.3066619271076
current,0.08,1.0,2.0,36471.898666999994,,1.0,1.0,1.0,1.0,1.606022247946596,1.7919852100138713,1.606022247946596,1.7919852100138713,1.0609174039736409,1.087581780131352,1.087581780131352,0,55619.645467174996,1.25,remaining_schedule,23182.616427736124,6277.305271152107,16887.49467378908,0.0,0.0,0.9231271129509865,0.0,0.0,0.05002971584075028,0.030807633175984027,0.0,0.0021542316474127982,0.03056445936097544,0.0,0.0,2869.275265919494
current,0.12,1.0,1.5,27353.924000249994,,1.0,1.0,1.0,1.0,1.9204453262517431,2.13856516350694,1.9204453262517431,2.13856516350694,1.2670438003524938,1.2793122476400494,1.2793122476400494,1,45475.89865041562,1.25,remaining_schedule,21569.892627382877,5867.986943424601,15655.36943550728,0.0,0.0,0.9230927361404493,0.0,0.0,0.047701167424750425,0.028479084759984175,0.0,0.0021299347828163994,0.03054979689057131,0.0,0.0,2855.4286688710304
current,0.15,1.0,1.5,27353.924000249994,,1.0,1.0,1.0,1.0,1.8227788542486865,2.040860365943809,1.8227788542486865,2.040860365943809,1.2188098264016287,1.2457130284513598,1.2457130284513598,0,48296.772062941396,1.25,remaining_schedule,22915.765874180703,6214.854013713362,16732.61601680739,0.0,0.0,0.9237033449522074,0.0,0.0,0.049625829912520444,0.030403747247754194,0.0,0.0021410665131253175,0.030539892303450215,0.0,0.0,2882.789887570505
current,0.25,1.0,1.5,27353.924000249994,,1.0,1.0,1.0,1.0,1.562815406326813,1.7173032411514413,1.562815406326813,1.7173032411514413,1.0204213913088147,1.0461282502695233,1.0461282502695233,0,57699.683438027336,1.25,remaining_schedule,23111.257546369954,6361.279959925372,16730.18347492951,0.0,0.0,0.9229009607362623,0.0,0.0,0.0508181371645845,0.03159605449981825,0.0,0.002099064821459754,0.030596269083351644,0.0,0.0,2908.4668063501067
current,0.35,1.0,1.0,18235.949333499997,,1.0,1.0,1.0,1.0,1.9383376032984398,2.1718240251969743,1.9383376032984398,2.1718240251969743,1.277998720038097,1.289950153259348,1.289950153259348,1,44735.063208742176,1.25,remaining_schedule,21067.8080478754,5753.419234442038,15337.552178989401,0.0,0.0,0.9260416649214751,0.0,0.0,0.047962249883150704,0.028740167218384453,0.0,0.0020805099541146904,0.030396383080996826,0.0,0.0,2866.7475604459805
current,0.45,1.0,1.0,18235.949333499997,,1.0,1.0,1.0,1.0,1.740180428913975,1.94034861850036,1.740180428913975,1.94034861850036,1.1512468605579376,1.1781553305505237,1.1781553305505237,0,51003.6707921328,1.25,remaining_schedule,22911.91730754485,6268.041111775277,16659.83200237855,0.0,0.0,0.9228394210273492,0.0,0.0,0.05064967483209275,0.0314275921673265,0.0,0.0021183114675133808,0.030548111514530553,0.0,0.0,2849.1076754242204
