network_scale,coupon_target_annual,principal_ratio,principal_usd_p50,scheduled_payment_coverage_p05,scheduled_payment_coverage_p50,issuer_operating_risk_headroom_p50,voucher_to_voucher_volume_ratio_vs_baseline,binding_constraint
current,0.12,2.0,36471.898666999994,0.9762680379707026,0.9986835754776745,0.9986835754776745,0.9939163710282944,p50_scheduled_payment_coverage;p05_scheduled_payment_coverage;p95_unpaid_claims
current,0.15,2.0,36471.898666999994,0.9165089841421955,0.9395851701660435,0.9395851701660435,0.993414631408456,p50_scheduled_payment_coverage;p05_scheduled_payment_coverage;p95_unpaid_claims
current,0.25,2.0,36471.898666999994,0.7701942659873955,0.7869179773236679,0.7869179773236679,0.9960778649887341,p50_scheduled_payment_coverage;p05_scheduled_payment_coverage;p95_unpaid_claims
current,0.35,1.5,27353.924000249994,0.8798549930958478,0.8999710721394614,0.8999710721394614,0.9944015002526009,p50_scheduled_payment_coverage;p05_scheduled_payment_coverage;p95_unpaid_claims
current,0.35,2.0,36471.898666999994,0.6645125979646705,0.6792113319638633,0.6792113319638633,0.9935517391366165,p50_scheduled_payment_coverage;p05_scheduled_payment_coverage;p95_unpaid_claims
current,0.45,1.5,27353.924000249994,0.7722310693607014,0.7885436975574351,0.7885436975574351,0.9920404406735622,p50_scheduled_payment_coverage;p05_scheduled_payment_coverage;p95_unpaid_claims
current,0.45,2.0,36471.898666999994,0.5798476317719804,0.5933112421291,0.5933112421291,0.988905364211834,p50_scheduled_payment_coverage;p05_scheduled_payment_coverage;p95_unpaid_claims
